상품명,제조사,평균가격,조사일
120시간 숙성 팥(500g),농업회사법인대상,15900.0,2025-07-04
1등급 다향 훈제오리(500g),팜덕,19175.45945945946,2025-07-04
2080 오리지날 미세모(10개),애경,7042.473684210527,2025-07-04
2080 파워쉴드 블루더블민트(120g),애경,2678.7969924812032,2025-07-04
2080 파워쉴드 블루더블민트(3개),애경,8891.616,2025-07-04
3M 스카치브라이트 물걸레청소포 대형(20매),한국3M,16825.51948051948,2025-07-04
3M 스카치브라이트 물걸레청소포 표준형(20매),한국3M,13510.097087378641,2025-07-04
3M 후레쉬 스탠딩 슬라이드 지퍼백 중형(21cm x 16cm x 6cm),한국3M,6101.25,2025-07-04
3분 백세카레 약간 매운맛(200g),오뚜기,3494.2967542503866,2025-07-04
3분 쇠고기짜장(200g),오뚜기,1796.723163841808,2025-07-04
3분 쇠고기카레(200g),오뚜기,1796.1538461538462,2025-07-04
96시간 숙성 서리태(500g),농업회사법인광복,8900.0,2025-07-04
96시간 숙성 현미(1kg),농업회사법인광복,5480.0,2025-07-04
CJ 1+등급 건강란(대란 15개),CJ제일제당,8980.0,2025-07-04
CJ 목초 동물복지 유정란(대란 15개),CJ제일제당,11915.483870967742,2025-07-04
CJ 행복한콩 안심아삭 콩나물(380g),CJ제일제당,1897.6119402985075,2025-07-04
Dole 파인애플 슬라이스(836g),동원에프앤비,4997.992831541219,2025-07-04
PACE6 스타일 면도날(4개),도루코,17750.0,2025-07-04
e-쿠킹호일(25cm*30m),삼아삭스호일,6794.366197183099,2025-07-04
가그린 오리지널(750ml),동아제약,7243.039049235993,2025-07-04
"갈치(냉동, 100g)",일반,3086.157894736842,2025-07-04
"갈치(생물, 100g)",일반,6847.333333333333,2025-07-04
"감자(껍질 있는 감자, 100g)",일반,549.9166666666666,2025-07-04
게토레이 레몬(600ml),롯데칠성음료,1729.1705069124423,2025-07-04
경천 시골볶음참깨(230g),경천식품,3975.5140186915887,2025-07-04
"고구마(껍질 있는 밤고구마, 100g)",일반,718.3636363636364,2025-07-04
"고구마(껍질 있는 호박고구마, 100g)",일반,974.5652173913044,2025-07-04
"고등어(생물, 300~500g)",일반,7926.0,2025-07-04
고메 바삭튀겨낸 통등심돈카츠(450g),CJ제일제당,10596.0,2025-07-04
고소한옥수수 모닝롤(14개입),롯데웰푸드,4263.231046931408,2025-07-04
고향만두(900g),해태제과,8745.737704918032,2025-07-04
곰표 밀가루 중력다목적용(1kg),대한제분,2046.8174474959612,2025-07-04
곰표 우리밀밀가루 중력분(900g),대한제분,3280.8,2025-07-04
국산콩두부 부침용(380g),풀무원,5393.939393939394,2025-07-04
국산콩두부 찌개용(380g),풀무원,3882.072072072072,2025-07-04
국순당 생막걸리(750ml),국순당,1822.4324324324325,2025-07-04
국순당 우국생(750ml),국순당,2107.093425605536,2025-07-04
